Y,M,YM,subdistrict,village,den
2011,1,-,Danurejan,Bausasran,0
2011,1,-,Danurejan,Suryatmajan,3
2011,1,-,Danurejan,Tegalpanggung,1
2011,1,-,Gedongtengen,Pringgokusuman,0
2011,1,-,Gedongtengen,Sosromenduran,0
2011,1,-,Gondokusuman,Baciro,1
2011,1,-,Gondokusuman,Demangan,6
2011,1,-,Gondokusuman,Klitren,0
2011,1,-,Gondokusuman,Kotabaru,0
2011,1,-,Gondokusuman,Terban,1
2011,1,-,Gondomanan,Ngupasan,1
2011,1,-,Gondomanan,Prawirodirjan,2
2011,1,-,Jetis,Bumijo,0
2011,1,-,Jetis,Cokrodiningratan,5
2011,1,-,Jetis,Gowongan,3
2011,1,-,Kotagede,Prenggan,3
2011,1,-,Kotagede,Purbayan,0
2011,1,-,Kotagede,Rejowinangun,2
2011,1,-,Kraton,Kadipaten,0
2011,1,-,Kraton,Panembahan,1
2011,1,-,Kraton,Patehan,4
2011,1,-,Mantrijeron,Gedongkiwo,3
2011,1,-,Mantrijeron,Mantrijeron,1
2011,1,-,Mantrijeron,Suryodiningratan,3
2011,1,-,Mergangsan,Brontokusuman,2
2011,1,-,Mergangsan,Keparakan,2
2011,1,-,Mergangsan,Wirogunan,4
2011,1,-,Ngampilan,Ngampilan,8
2011,1,-,Ngampilan,Notoprajan,4
2011,1,-,Pakualaman,Gunungketur,1
2011,1,-,Pakualaman,Purwokinanti,2
2011,1,-,Tegalrejo,Bener,0
2011,1,-,Tegalrejo,Karangwaru,1
2011,1,-,Tegalrejo,Kricak,2
2011,1,-,Tegalrejo,Tegalrejo,6
2011,1,-,Umbulharjo,Giwangan,4
2011,1,-,Umbulharjo,Mujamuju,2
2011,1,-,Umbulharjo,Pandeyan,1
2011,1,-,Umbulharjo,Semaki,3
2011,1,-,Umbulharjo,Sorosutan,6
2011,1,-,Umbulharjo,Tahunan,4
2011,1,-,Umbulharjo,Warungboto,2
2011,1,-,Wirobrajan,Pakuncen,6
2011,1,-,Wirobrajan,Patangpuluhan,3
2011,1,-,Wirobrajan,Wirobrajan,1
2011,2,-,Danurejan,Bausasran,0
2011,2,-,Danurejan,Suryatmajan,3
2011,2,-,Danurejan,Tegalpanggung,0
2011,2,-,Gedongtengen,Pringgokusuman,3
2011,2,-,Gedongtengen,Sosromenduran,0
2011,2,-,Gondokusuman,Baciro,1
2011,2,-,Gondokusuman,Demangan,5
2011,2,-,Gondokusuman,Klitren,4
2011,2,-,Gondokusuman,Kotabaru,0
2011,2,-,Gondokusuman,Terban,4
2011,2,-,Gondomanan,Ngupasan,1
2011,2,-,Gondomanan,Prawirodirjan,0
2011,2,-,Jetis,Bumijo,4
2011,2,-,Jetis,Cokrodiningratan,2
2011,2,-,Jetis,Gowongan,1
2011,2,-,Kotagede,Prenggan,1
2011,2,-,Kotagede,Purbayan,4
2011,2,-,Kotagede,Rejowinangun,3
2011,2,-,Kraton,Kadipaten,0
2011,2,-,Kraton,Panembahan,2
2011,2,-,Kraton,Patehan,2
2011,2,-,Mantrijeron,Gedongkiwo,2
2011,2,-,Mantrijeron,Mantrijeron,0
2011,2,-,Mantrijeron,Suryodiningratan,1
2011,2,-,Mergangsan,Brontokusuman,0
2011,2,-,Mergangsan,Keparakan,3
2011,2,-,Mergangsan,Wirogunan,2
2011,2,-,Ngampilan,Ngampilan,1
2011,2,-,Ngampilan,Notoprajan,2
2011,2,-,Pakualaman,Gunungketur,0
2011,2,-,Pakualaman,Purwokinanti,1
2011,2,-,Tegalrejo,Bener,0
2011,2,-,Tegalrejo,Karangwaru,0
2011,2,-,Tegalrejo,Kricak,3
2011,2,-,Tegalrejo,Tegalrejo,5
2011,2,-,Umbulharjo,Giwangan,1
2011,2,-,Umbulharjo,Mujamuju,3
2011,2,-,Umbulharjo,Pandeyan,0
2011,2,-,Umbulharjo,Semaki,2
2011,2,-,Umbulharjo,Sorosutan,4
2011,2,-,Umbulharjo,Tahunan,0
2011,2,-,Umbulharjo,Warungboto,1
2011,2,-,Wirobrajan,Pakuncen,0
2011,2,-,Wirobrajan,Patangpuluhan,2
2011,2,-,Wirobrajan,Wirobrajan,0
2011,3,-,Danurejan,Bausasran,0
2011,3,-,Danurejan,Suryatmajan,1
2011,3,-,Danurejan,Tegalpanggung,2
2011,3,-,Gedongtengen,Pringgokusuman,1
