Y,M,YM,temp,hum,rain
2011,1,-,26.4,84,401
2011,2,-,26.5,83,323
2011,3,-,26.9,85,335
2011,4,-,26.7,84,265
2011,5,-,26.9,82,177
2011,6,-,26,76,0
2011,7,-,26.1,74,0
2011,8,-,25.6,71,0
2011,9,-,26.6,72,1
2011,10,-,27.9,71,19
2011,11,-,27.2,83,371
2011,12,-,27.2,84,389
2012,1,-,26,83,295
2012,2,-,26,83,388
2012,3,-,NA,87,321
2012,4,-,NA,NA,247
2012,5,-,NA,NA,63
2012,6,-,NA,NA,4
2012,7,-,NA,NA,0
2012,8,-,NA,NA,NA
2012,9,-,NA,NA,NA
2012,10,-,NA,NA,67
2012,11,-,26.9,87,222
2012,12,-,26.6,88,407
2013,1,-,26.4,88,493
2013,2,-,26.4,89,369
2013,3,-,27,87,246
2013,4,-,27.2,87,113
2013,5,-,26.7,89,222
2013,6,-,26.2,90,152
2013,7,-,25.5,86,62
2013,8,-,25.1,83,2
2013,9,-,25.6,81,5
2013,10,-,27.1,80,92
2013,11,-,26.3,84,301
2013,12,-,26,88,446
2014,1,-,25.83,88,305
2014,2,-,26.1,87,298
2014,3,-,26.81,84,157
2014,4,-,26.68,87,177
2014,5,-,27.11,85,97
2014,6,-,26.66,83,66
2014,7,-,25.34,85,51
2014,8,-,25.3,78,0
2014,9,-,25.5,78,0
2014,10,-,27.06,76,3
2014,11,-,26.69,85,376
2014,12,-,26.18,88,504
2015,1,-,26.22,86,320
2015,2,-,NA,NA,0
2015,3,-,26.1,90,214
2015,4,-,NA,NA,0
2015,5,-,NA,NA,0
2015,6,-,NA,NA,0
2015,7,-,24.64,83,0
2015,8,-,24.78,79,0
2015,9,-,25.58,78,0
2015,10,-,26.75,76,0
2015,11,-,27.82,81,216
2015,12,-,26.87,88,302
2016,1,-,27.54,86,153
2016,2,-,26.57,89,320
2016,3,-,26.84,89,410
2016,4,-,27.28,88,185
2016,5,-,27.21,88,140
2016,6,-,26.37,88,296
2016,7,-,26.5,87,106
2016,8,-,26.18,84,94
2016,9,-,26.77,85,240
2016,10,-,26.7,87,327
2016,11,-,26.29,89,508
2016,12,-,26.47,87,267
2017,1,-,26.06,89,298
2017,2,-,26.14,88,348
2017,3,-,26.35,87,403
2017,4,-,26.49,87,243
2017,5,-,26.38,83,46
2017,6,-,26.28,84,9
2017,7,-,25.09,84,13
2017,8,-,25.07,81,0
2017,9,-,25.84,81,63
2017,10,-,26.89,84,60
2017,11,-,25.84,90,689
2017,12,-,26.32,86,370
2018,1,-,25.88,87,441
2018,2,-,25.99,87,338
2018,3,-,26.39,86,191
2018,4,-,27.02,86,108
2018,5,-,26.34,83,10
2018,6,-,25.62,83,17
2018,7,-,24.24,81,0
2018,8,-,24.34,82,1
2018,9,-,25.77,83,21
2018,10,-,27.08,79,0
2018,11,-,27.03,84,268
2018,12,-,26.51,87,171
2019,1,-,26.4,88,343
2019,2,-,26.61,87,241
2019,3,-,26.24,88,618
2019,4,-,27.24,85,99
2019,5,-,26.68,82,1
2019,6,-,24.68,83,1
2019,7,-,24.32,81,0
2019,8,-,24.47,80,0
2019,9,-,25.42,77,0
2019,10,-,26.82,78,0
2019,11,-,27.51,79,22
2019,12,-,27.49,83,214
2020,1,-,26.92,86,308
