DISTRICT,sdistrict,ID,xcoord,ycoord
Yogyakarta,Gondokusuman,"5",110.38133916115,-7.78602515855896
Yogyakarta,Gedongtengen,"12",110.361065134484,-7.79186849447354
Yogyakarta,Tegalrejo,"1",110.356957531525,-7.77865043850735
Yogyakarta,Ngampilan,"25",110.357820769883,-7.80086886994819
Yogyakarta,Kotagede,"30",110.398778362746,-7.81860669642342
Yogyakarta,Jetis,"4",110.364260784855,-7.78274912734683
Yogyakarta,Danurejan,"15",110.372170337284,-7.79309338384574
Yogyakarta,Pakualaman,"22",110.375445299947,-7.79996616222532
Yogyakarta,Umbulharjo,"14",110.387109695269,-7.81383230740007
Yogyakarta,Gondomanan,"21",110.367068918572,-7.80188252264205
Yogyakarta,Mergangsan,"27",110.373537060682,-7.81384771668789
Yogyakarta,Kraton,"31",110.362760986735,-7.80910935474206
Yogyakarta,Mantrijeron,"36",110.359157720252,-7.81892406675395
Yogyakarta,Wirobrajan,"19",110.350388413837,-7.80340215207636
